iter	Passed	Remaining
0	237	23548
1	338	16584
2	438	14185
3	531	12753
4	646	12286
5	830	13014
6	940	12497
7	1046	1203488	1147	116079	1217	10953
110	1343	10871111	1434	10521112	1530	10241313	1618	99414	1679	9519
15	1781	9352
16	1877	9167
17	1978	9013
18	2071	8830
19	2177	8711
20	2262	8510
21	2369	8400
22	2464	8251
23	2554	8089
24	2643	7931
2525	2742	78026	2806	7589
2727	2957	7602828	3049	7462929	3178	7413030	3262	7263131	3346	7113232	3427	6953333	3516	6826
34	3598	6683
35	3685	6552
36	3771	6421
37	3845	6274
38	3926	6141
39	4011	6016
40	4101	5902
41	4184	5778
42	4267	5657
43	4351	5537
44	4446	5434
45	4543	5333
46	4630	5221
47	4716	5109
48	4795	4990
49	4882	4882
50	4985	4790
51	5088	4697
52	5173	4587
53	5257	4478
54	5350	4377
55	5443	4277
56	5520	4164
57	5616	4067
58	5710	3968
59	5797	3864
60	5893	3767
61	5978	3663
62	6072	3566
63	6161	3465
64	6234	3357
65	6307	3249
66	6380	3142
67	6444	3032
68	6518	2928
69	6579	2819
70	6666	2722
71	6740	2621
72	6813	2520
73	6883	2418
74	6946	2315
75	7014	2215
76	7070	2112
77	7127	2010
78	7181	1909
79	7231	1807
80	7275	1706
81	7328	1608
82	7375	1510
83	7436	1416
84	7485	1320
85	7533	1226
86	7584	1133
87	7637	1041
88	7680	949
89	7731	859
90	7782	769
91	7831	681
92	7879	593
93	7933	506
94	7983	420
95	8020	334
96	8060	249
97	8099	165
98	8134	82
99	8167	0
